movie,original_language,popularity,vote_average,vote_count,release_date,production_budget,worldwide_gross,genres,release_month
the act of killing,id,8.63,7.8,326,2013-07-19,1000000,1227316,multiple_genres,7
the adjustment bureau,en,13.717,6.6,2615,2011-03-04,50200000,126931325,multiple_genres,3
the adventurer: the curse of the midas box,en,8.417,5.1,108,2014-01-10,25000000,0,multiple_genres,1
the adventures of tintin,en,11.981,6.8,3251,2011-12-21,130000000,373993951,multiple_genres,12
the age of adaline,en,8.559,7.4,3853,2015-04-24,30000000,68984536,multiple_genres,4
the algerian,en,0.911,4.5,2,2015-06-26,1300000,0,multiple_genres,6
the amazing spider-man,en,24.391,6.5,10411,2012-07-03,220000000,757890267,multiple_genres,7
the amazing spider-man 2,en,20.847,6.4,7220,2014-05-02,200000000,708996336,multiple_genres,5
the american,en,9.042,5.8,690,2010-09-01,20000000,67950723,multiple_genres,9
the angry birds movie,en,17.998,6.0,1851,2016-05-20,73000000,352327887,multiple_genres,5
the apparition,en,7.714,4.3,221,2012-08-24,17000000,10637281,drama,8
the art of getting by,en,8.695,6.5,752,2011-06-17,4000000,1989035,multiple_genres,6
the artist,en,10.155,7.4,1787,2011-11-25,16000000,128256712,thriller,11
the avengers,en,50.289,7.6,19673,2012-05-04,225000000,1517935897,multiple_genres,5
the awakening,en,10.73,6.4,782,2012-08-17,4900000,6924321,thriller,8
the babadook,en,11.502,6.4,3528,2014-11-28,2000000,7482387,multiple_genres,11
the back-up plan,en,15.49,6.0,806,2010-04-23,35000000,75281179,multiple_genres,4
the beaver,en,7.357,6.3,464,2011-05-06,21000000,5046038,drama,5
the belko experiment,en,10.133,6.1,757,2017-03-17,5000000,11792942,multiple_genres,3
the best exotic marigold hotel,en,8.665,6.9,756,2012-05-04,10000000,134639780,multiple_genres,5
the best man holiday,en,8.581,6.6,145,2013-11-15,17000000,72835710,multiple_genres,11
the best of me,en,8.622,7.3,1512,2014-10-17,26000000,41059418,multiple_genres,10
the best years of our lives,en,9.647,7.8,243,1946-11-21,2100000,23600000,comedy,11
the bfg,en,20.08,6.2,1916,2016-07-01,140000000,199646680,multiple_genres,7
the big short,en,14.327,7.3,4657,2015-12-11,28000000,133162752,multiple_genres,12
the big sick,en,12.322,7.4,1302,2017-06-23,5000000,53972860,multiple_genres,6
the big wedding,en,11.231,5.8,678,2013-04-26,32500000,48425971,multiple_genres,4
the big year,en,7.077,5.8,393,2011-10-14,41000000,7684524,comedy,10
the birth of a nation,en,8.152,6.5,328,1915-02-08,110000,11000000,multiple_genres,2
the black hole,en,2.075,2.9,14,1979-12-21,20000000,35841901,comedy,12
the book of eli,en,18.985,6.7,3495,2010-01-15,80000000,158750817,multiple_genres,1
the book of life,en,11.392,7.4,1228,2014-10-17,50000000,97651543,thriller,10
the book thief,en,9.034,7.5,2788,2013-11-08,19000000,76086711,multiple_genres,11
the boss,en,11.442,5.8,822,2016-04-08,29000000,78652207,comedy,4
the boss baby,en,7.445,6.4,4314,2017-03-31,125000000,510878762,multiple_genres,3
the bounce back,en,2.494,6.1,31,2016-12-09,3000000,421404,multiple_genres,12
the bounty hunter,en,9.861,5.7,1627,2010-03-19,45000000,135808837,multiple_genres,3
the bourne legacy,en,18.05,6.1,3630,2012-08-10,125000000,280355920,multiple_genres,8
the box,en,0.6,8.0,1,2009-11-06,25000000,34356760,drama,11
the boxtrolls,en,11.219,6.7,1016,2014-09-26,60000000,111946251,multiple_genres,9
the boy,en,11.703,5.8,2223,2016-01-22,10000000,68220952,multiple_genres,1
the boy next door,en,0.6,5.7,6,2015-01-23,4000000,53401938,multiple_genres,1
the brass teapot,en,6.495,6.0,240,2013-04-05,900000,413733,multiple_genres,4
the bronze,en,8.328,5.8,186,2016-03-18,3500000,615816,multiple_genres,3
the bye bye man,en,9.847,5.1,678,2017-01-13,7400000,31187727,multiple_genres,1
the cabin in the woods,en,15.336,6.5,4185,2012-04-13,30000000,70689968,horror,4
the call,en,11.315,6.7,1779,2013-03-15,12800000,69821476,thriller,3
the calling,en,6.605,5.7,110,2002-03-01,160000,32092,documentary,3
the campaign,en,10.266,5.7,982,2012-08-10,95000000,104907746,comedy,8
the canyons,en,6.937,4.3,134,2013-08-02,250000,62375,multiple_genres,8
the change-up,en,12.122,6.0,1406,2011-08-05,52000000,75997067,multiple_genres,8
the christmas bunny,en,1.4,6.1,11,2010-12-31,250000,0,multiple_genres,12
the christmas candle,en,1.4,6.0,15,2013-11-15,7000000,1933829,multiple_genres,11
the chronicles of narnia: the voyage of the dawn treader,en,17.382,6.3,3196,2010-12-10,155000000,418186950,multiple_genres,12
the circle,sv,2.398,5.5,48,2017-04-28,18000000,40651864,multiple_genres,4
the cold light of day,en,8.974,5.1,463,2012-09-07,20000000,25361206,multiple_genres,9
the collection,en,0.84,7.0,1,2012-11-30,10000000,8890094,multiple_genres,11
the collector,en,1.4,0.5,2,2009-07-31,3000000,10473836,multiple_genres,7
the comedian,en,7.433,5.6,68,2017-02-03,15000000,1658706,comedy,2
the commuter,en,20.063,6.2,2394,2018-01-12,40000000,101985431,multiple_genres,1
the conjuring,en,18.886,7.5,5912,2013-07-19,20000000,318000141,multiple_genres,7
the conspirator,en,6.493,6.5,226,2011-04-15,25000000,15907411,comedy,4
the cottage,en,1.666,4.3,14,2008-12-31,5000000,1504960,multiple_genres,12
the counselor,en,10.55,5.1,1072,2013-10-25,25000000,71009334,multiple_genres,10
the covenant,en,2.733,4.4,14,2006-09-08,20000000,38164784,horror,9
the crazies,en,12.246,6.2,1036,2010-02-26,19000000,56445534,multiple_genres,2
the crew,fr,8.826,6.2,134,2000-08-25,23000000,13019253,documentary,8
the croods,en,16.29,6.8,3873,2013-03-22,135000000,573068425,multiple_genres,3
the curse of downers grove,en,3.674,4.7,42,2015-08-21,2000000,0,multiple_genres,8
the d train,xx,0.6,6.0,2,2015-05-08,3000000,772366,multiple_genres,5
the dark knight rises,en,26.22,7.7,13933,2012-07-20,275000000,1084439099,multiple_genres,7
the dark tower,en,15.517,5.6,2842,2017-08-04,60000000,113461527,multiple_genres,8
the darkest hour,en,10.73,4.9,735,2011-12-25,34800000,62831715,multiple_genres,12
the darkest minds,en,23.967,6.8,1158,2018-08-03,34000000,38361428,multiple_genres,8
the darkness,en,8.357,4.8,347,2016-05-13,4000000,10898293,multiple_genres,5
the dead undead,en,3.127,3.1,9,2010-12-31,1100000,0,multiple_genres,12
the debt,en,12.697,6.6,403,2011-08-31,20000000,46604054,multiple_genres,8
the descendants,en,10.444,6.8,1522,2011-11-16,20000000,175507800,drama,11
the devil inside,en,7.403,4.7,441,2012-01-06,1000000,101759490,horror,1
the devil's double,en,7.505,6.7,291,2011-07-29,19100000,5965646,multiple_genres,7
the diary of a teenage girl,en,9.382,6.7,460,2015-08-07,2000000,2279959,multiple_genres,8
the dictator,en,12.592,6.0,3042,2012-05-16,65000000,180148897,comedy,5
the dilemma,en,9.518,5.3,448,2011-01-14,70000000,70546865,multiple_genres,1
the dirties,en,2.971,6.1,57,2013-10-04,55000,0,multiple_genres,10
the disappointments room,en,6.324,4.4,272,2016-09-09,15000000,3503761,multiple_genres,9
the disaster artist,en,13.27,7.2,1895,2017-12-01,10000000,28717667,multiple_genres,12
the divide,en,1.552,2.0,1,2012-01-13,3000000,156362,multiple_genres,1
the dog lover,en,1.61,5.9,11,2016-07-08,2000000,0,drama,7
the drop,en,14.795,6.7,1215,2014-09-12,12600000,19054534,multiple_genres,9
the duff,en,9.054,6.8,2987,2015-02-20,8500000,43528634,multiple_genres,2
the eagle,en,8.443,6.1,694,2011-02-11,25000000,38993548,multiple_genres,2
the east,en,8.044,6.6,438,2013-05-31,6500000,3027956,multiple_genres,5
the edge of seventeen,en,11.546,7.2,2224,2016-11-18,9000000,19096003,multiple_genres,11
the emoji movie,en,14.88,5.4,1447,2017-07-28,50000000,216562312,multiple_genres,7
the equalizer,en,28.942,7.2,4989,2014-09-26,55000000,192903624,multiple_genres,9
the equalizer 2,en,22.961,6.4,2089,2018-07-20,77000000,190453132,multiple_genres,7
the expendables,en,21.517,6.1,4647,2010-08-13,82000000,268268174,multiple_genres,8
the expendables 2,en,17.216,6.2,4219,2012-08-17,100000000,311979256,multiple_genres,8
the expendables 3,en,18.797,6.1,2876,2014-08-15,100000000,209461378,multiple_genres,8
the extra man,en,5.056,5.9,46,2010-07-30,7000000,492108,comedy,7
the face of an angel,en,6.495,5.0,94,2015-04-24,26000000,0,multiple_genres,4
the face of love,en,5.519,6.1,68,2014-03-07,4000000,1158877,multiple_genres,3
the family,es,1.141,6.3,3,2013-09-13,30000000,51078541,multiple_genres,9
the fate of the furious,en,28.668,6.9,6335,2017-04-14,250000000,1234846267,multiple_genres,4
the fault in our stars,en,16.03,7.6,7236,2014-06-06,12000000,307166834,multiple_genres,6
the favourite,en,28.651,7.7,2096,2018-11-23,15000000,94113929,multiple_genres,11
the fifth estate,en,6.611,5.9,549,2013-10-18,26000000,6154172,multiple_genres,10
the fighter,en,10.395,7.3,2325,2010-12-10,11000000,129262388,multiple_genres,12
the final girls,en,8.362,6.5,619,2015-11-03,4500000,0,multiple_genres,11
the finest hours,en,12.673,6.4,943,2016-01-29,70000000,49252761,multiple_genres,1
the first purge,en,28.44,5.8,1846,2018-07-04,13000000,136617305,multiple_genres,7
the first time,en,11.25,7.0,1426,2012-10-19,2000000,17061,multiple_genres,10
the fits,en,4.938,6.6,66,2016-06-03,170000,169242,multiple_genres,6
the five-year engagement,en,10.729,5.8,742,2012-04-27,30000000,61623819,multiple_genres,4
the florida project,en,11.597,7.4,1125,2017-10-06,2000000,11295324,drama,10
the foreigner,en,14.616,6.7,1086,2017-10-13,35000000,140783360,multiple_genres,10
the forest,en,1.125,2.5,1,2016-01-08,10000000,40749230,multiple_genres,1
the founder,en,12.349,7.0,2093,2017-01-20,15000000,24403192,multiple_genres,1
the fp,en,2.007,5.4,16,2012-03-16,60000,0,comedy,3
the frozen,en,1.928,4.2,20,2012-12-18,250000,0,multiple_genres,12
the frozen ground,en,10.34,6.3,762,2013-08-23,19200000,5617460,multiple_genres,8
the future,it,2.336,5.8,11,2011-07-29,1000000,1239174,multiple_genres,7
the gallows,en,9.166,4.8,591,2015-07-10,100000,41656474,multiple_genres,7
the gambler,en,8.807,5.8,783,1999-08-04,3000000,101773,multiple_genres,8
the gatekeepers,en,4.534,7.2,51,2013-02-01,1500000,2592308,multiple_genres,2
the ghastly love of johnny x,en,2.971,6.5,9,2012-10-26,2000000,2436,multiple_genres,10
the ghost writer,en,7.829,6.8,1135,2010-02-19,45000000,65532491,multiple_genres,2
the giant mechanical man,en,5.945,6.3,70,2012-04-27,900000,7396,multiple_genres,4
the gift,en,1.304,6.6,7,2000-12-19,10000000,44567606,multiple_genres,12
the girl on the train,en,1.595,5.9,25,2016-10-07,45000000,174278214,multiple_genres,10
the girl with all the gifts,en,13.714,6.4,982,2017-02-24,5250000,4801837,multiple_genres,2
the girl with the dragon tattoo,en,17.823,7.3,3971,2011-12-20,90000000,239373970,multiple_genres,12
the giver,en,8.687,6.5,3075,2014-08-15,25000000,66540205,multiple_genres,8
the good dinosaur,en,17.675,6.7,3135,2015-11-25,187500000,333771037,multiple_genres,11
the gospel of john,en,0.6,5.4,5,2003-09-26,11000000,4234355,drama,9
the grace card,en,2.142,6.5,18,2011-02-25,200000,2430735,drama,2
the grand budapest hotel,en,18.31,8.0,8091,2014-03-07,31000000,163981261,multiple_genres,3
the great gatsby,en,15.397,7.4,7120,1974-03-29,7000000,26533200,multiple_genres,3
the great wall,en,19.144,5.8,2775,2017-02-17,150000000,334486852,documentary,2
the greatest showman,en,22.009,8.0,5197,2017-12-20,84000000,386665550,multiple_genres,12
the green hornet,en,14.501,5.5,1897,2011-01-14,110000000,229155503,multiple_genres,1
the green inferno,en,13.67,5.2,619,2015-09-25,1000000,12931420,multiple_genres,9
the grey,en,12.942,6.5,2280,2012-01-27,25000000,81249176,multiple_genres,1
the guard,en,10.177,6.9,563,2011-07-29,6000000,21197454,multiple_genres,7
the guardian,en,0.84,5.3,2,2006-09-29,70000000,94973540,multiple_genres,9
the guilt trip,en,8.939,5.4,403,2012-12-19,40000000,41294674,multiple_genres,12
the gunman,en,10.388,5.7,583,2015-03-20,40000000,18594227,multiple_genres,3
the hammer,en,1.961,6.5,16,2008-03-21,850000,442638,multiple_genres,3
the hangover part ii,en,32.266,6.4,6231,2011-05-26,80000000,586464305,multiple_genres,5
the hate u give,en,19.135,8.2,636,2018-10-05,23000000,35067665,multiple_genres,10
the hateful eight,en,20.681,7.7,8065,2015-12-25,62000000,147864886,multiple_genres,12
the heat,en,16.912,6.6,2441,2013-06-28,43000000,229727774,multiple_genres,6
the help,en,12.598,8.1,3944,2011-08-10,25000000,213120004,drama,8
the hit list,en,6.241,5.4,116,2011-05-10,6000000,0,multiple_genres,5
the hobbit: an unexpected journey,en,26.939,7.2,12076,2012-12-14,250000000,1017003568,multiple_genres,12
the hobbit: the battle of the five armies,en,53.783,7.3,8392,2014-12-17,250000000,945577621,multiple_genres,12
the hobbit: the desolation of smaug,en,21.275,7.6,7739,2013-12-13,250000000,960366855,multiple_genres,12
the homesman,en,8.232,6.5,389,2014-11-14,16000000,8217571,multiple_genres,11
the host,en,11.458,6.2,2788,2013-03-29,50000000,64477051,multiple_genres,3
the house,en,9.62,5.7,474,2017-06-30,40000000,31192425,multiple_genres,6
the house with a clock in its walls,en,21.805,6.2,933,2018-09-21,40000000,126331750,multiple_genres,9
the hundred-foot journey,en,8.26,7.3,785,2014-08-08,22000000,94270488,multiple_genres,8
the hunger games,en,14.212,7.1,14587,2012-03-23,80000000,677923379,multiple_genres,3
the hunger games: catching fire,en,20.187,7.4,11170,2013-11-22,130000000,864868047,multiple_genres,11
the hunger games: mockingjay - part 1,en,33.837,6.8,10087,2014-11-21,125000000,766575131,multiple_genres,11
the hunger games: mockingjay - part 2,en,19.487,6.8,7609,2015-11-20,160000000,648986787,multiple_genres,11
the hunted,en,2.897,5.2,10,2003-03-14,55000000,47213095,action,3
the hurricane heist,en,13.335,5.4,476,2018-03-09,40000000,30963684,multiple_genres,3
the iceman,en,11.248,6.5,562,2013-05-03,10000000,3623609,multiple_genres,5
the ides of march,en,10.127,6.7,1405,2011-10-07,23000000,77735925,multiple_genres,10
the illusionist,fr,8.404,7.4,280,2006-08-18,16500000,83792062,documentary,8
the image revolution,en,1.313,6.3,4,2014-12-31,50000,0,multiple_genres,12
the imitation game,en,33.078,8.1,10396,2014-11-28,15000000,227740463,multiple_genres,11
the immigrant,en,8.145,6.2,438,2014-05-16,16000000,7585011,multiple_genres,5
the impossible,en,14.66,7.2,3614,2012-12-21,40000000,169590606,multiple_genres,12
the incredible burt wonderstone,en,9.362,5.4,920,2013-03-15,32000000,27392609,multiple_genres,3
the infiltrator,en,9.588,6.6,943,2016-07-13,47500000,20718104,multiple_genres,7
the innkeepers,en,8.494,5.5,324,2012-02-03,750000,1011535,multiple_genres,2
the intern,en,14.377,7.1,3373,2015-09-25,40000000,197115710,multiple_genres,9
the internship,en,0.6,6.2,2631,2013-06-07,58000000,93672764,comedy,6
the interview,en,15.501,6.2,3579,2014-02-06,44000000,12342632,documentary,2
the invitation,en,10.424,6.5,1063,2016-04-08,1000000,354836,documentary,4
the iron lady,en,8.987,6.4,899,2012-01-13,14000000,115592104,multiple_genres,1
the joneses,en,6.424,6.2,312,2010-04-16,10000000,3541565,multiple_genres,4
the journey,en,1.893,6.7,20,2003-07-11,500000,19800,multiple_genres,7
the judge,en,16.464,7.3,2356,2014-10-10,50000000,76119388,multiple_genres,10
the jungle book,en,20.129,6.8,5257,1994-12-25,27000000,44342956,animation,12
the karate kid,en,12.256,6.3,3140,2010-06-11,40000000,351774938,multiple_genres,6
the kid,en,2.403,6.9,12,2000-07-07,65000000,69688384,drama,7
the kids are all right,en,8.426,6.6,854,2010-07-09,4000000,36275469,multiple_genres,7
the killer inside me,en,7.087,5.9,304,2010-06-18,13000000,3617277,multiple_genres,6
the lady in the van,en,9.269,6.3,393,2016-01-15,6000000,42320503,multiple_genres,1
the last airbender,en,16.595,4.6,2143,2010-07-01,150000000,319713881,multiple_genres,7
the last days on mars,en,8.759,5.3,407,2013-12-06,10600000,261364,multiple_genres,12
the last exorcism,en,9.35,5.6,519,2010-08-27,1800000,70165900,multiple_genres,8
the last exorcism part ii,en,7.561,4.5,297,2013-03-01,4000000,25448707,multiple_genres,3
the last five years,en,5.079,5.9,230,2015-02-13,2000000,205298,multiple_genres,2
the last godfather,ko,1.4,4.9,9,2011-04-01,13400000,164247,multiple_genres,4
the last song,en,9.237,7.2,2199,2010-03-31,20000000,92678948,multiple_genres,3
the last stand,en,15.894,5.9,1692,2013-01-18,30000000,48330757,multiple_genres,1
the last witch hunter,en,16.685,5.8,2193,2015-10-23,80000000,130818912,multiple_genres,10
the lazarus effect,en,10.157,5.1,825,2015-02-27,5000000,38359310,multiple_genres,2
the legend of hercules,en,13.754,4.5,805,2014-01-10,70000000,58953319,multiple_genres,1
the legend of tarzan,en,14.797,5.8,4102,2016-07-01,180000000,348902025,multiple_genres,7
the lego batman movie,en,19.352,7.2,2882,2017-02-10,80000000,310660018,multiple_genres,2
the lego movie,en,19.375,7.4,4839,2014-02-07,60000000,457729388,multiple_genres,2
the lego ninjago movie,en,14.607,6.3,424,2017-09-22,70000000,122737201,multiple_genres,9
the light between oceans,en,29.887,7.1,831,2016-09-02,20000000,22281732,multiple_genres,9
the lincoln lawyer,en,11.812,7.1,1525,2011-03-18,40000000,87145086,multiple_genres,3
the lion king,en,28.583,8.2,10160,1994-06-15,79300000,986214868,multiple_genres,6
the lion of judah,en,1.4,4.5,3,2011-06-03,1500000,0,multiple_genres,6
the little prince,en,8.512,7.6,1493,2016-02-12,77500000,102028919,multiple_genres,2
the lobster,en,15.64,6.9,2895,2016-03-25,4500000,18019834,multiple_genres,3
the lone ranger,en,12.482,6.0,3789,2013-07-02,275000000,260002115,multiple_genres,7
the longest ride,en,11.168,7.5,1908,2015-04-10,34000000,63802928,multiple_genres,4
the looking glass,en,0.6,5.0,1,2015-10-23,300000,1711,fantasy,10
the lords of salem,en,8.434,5.3,445,2013-04-19,1500000,1541131,multiple_genres,4
the losers,en,10.202,6.2,844,2010-04-23,25000000,29863840,multiple_genres,4
the lost city of z,en,11.048,6.2,1397,2017-04-14,30000000,17121823,multiple_genres,4
the lost medallion: the adventures of billy stone,en,2.164,5.5,21,2013-03-01,2500000,549632,multiple_genres,3
the love letter,en,0.6,5.0,2,1999-05-21,15000000,9010980,multiple_genres,5
the lovers,en,5.232,4.7,47,2015-03-13,35000000,53899,multiple_genres,3
the lucky one,en,13.14,6.9,2012,2012-04-20,25000000,96633833,multiple_genres,4
the lunchbox,hi,5.888,7.3,350,2014-02-28,1700000,12231500,multiple_genres,2
the magic flute,en,0.647,9.0,2,2006-12-31,27000000,0,music,12
the magnificent seven,en,18.487,6.2,3647,2016-09-23,90000000,162525156,multiple_genres,9
the maid's room,en,0.849,4.8,6,2014-08-08,600000,0,thriller,8
the man from u.n.c.l.e.,en,18.956,7.1,3525,2015-08-14,75000000,104949584,multiple_genres,8
the man who knew infinity,en,8.76,7.2,699,2016-04-29,10000000,12382122,multiple_genres,4
the man with the iron fists,en,15.457,5.3,573,2012-11-02,15000000,22018988,action,11
the martian,en,22.856,7.7,12172,2015-10-02,108000000,655271443,multiple_genres,10
the masked saint,en,1.42,3.5,16,2016-01-08,3500000,182695,multiple_genres,1
the master,en,12.829,7.1,1323,2012-09-14,37500000,50647416,multiple_genres,9
the maze runner,en,36.955,7.1,10626,2014-09-19,34000000,348319861,multiple_genres,9
the mechanic,en,14.387,6.3,1676,2011-01-28,42500000,76347393,multiple_genres,1
the meddler,en,7.725,5.8,186,2016-04-22,3200000,5526942,multiple_genres,4
the meg,en,31.397,5.9,2896,2018-08-10,178000000,529530715,multiple_genres,8
the messenger,en,0.6,8.0,2,2009-11-13,6500000,1744952,multiple_genres,11
the monuments men,en,12.861,5.9,2229,2014-02-07,70000000,158702748,multiple_genres,2
the mortal instruments: city of bones,en,16.484,6.3,2915,2013-08-21,60000000,75965567,multiple_genres,8
the mule,en,6.161,6.4,77,2018-12-14,50000000,170857676,multiple_genres,12
the mummy,en,18.53,5.5,4391,2017-06-09,195000000,409953905,multiple_genres,6
the muppets,en,11.324,6.6,831,2011-11-23,45000000,160971922,multiple_genres,11
the neon demon,en,11.787,6.6,2005,2016-06-24,7500000,3559803,multiple_genres,6
the next three days,en,11.147,7.0,1469,2010-11-19,30000000,67255916,multiple_genres,11
the nice guys,en,13.743,7.1,4272,2016-05-20,50000000,59596747,multiple_genres,5
the night before,en,9.014,6.1,956,2015-11-20,25000000,52427346,documentary,11
the night visitor,en,0.671,4.5,2,2015-11-10,100000,0,multiple_genres,11
the november man,en,17.747,6.1,852,2014-08-27,15000000,34820335,multiple_genres,8
the nut job,en,10.501,5.6,529,2014-01-17,30000000,122529966,multiple_genres,1
the nut job 2: nutty by nature,en,8.975,5.7,227,2017-08-11,40000000,57438389,multiple_genres,8
the nutcracker and the four realms,en,26.235,6.0,909,2018-11-02,132900000,170293899,multiple_genres,11
the nutcracker in 3d,en,7.566,5.5,97,2010-11-24,90000000,20466016,multiple_genres,11
the odd life of timothy green,en,9.216,6.7,605,2012-08-15,40000000,55249159,multiple_genres,8
the one,ru,1.29,5.6,5,2001-11-02,49000000,72689126,multiple_genres,11
the oogieloves in the big balloon adventure,en,1.578,2.6,9,2012-08-29,20000000,1065907,multiple_genres,8
the opposite sex,en,8.832,4.1,20,2015-01-20,3300000,50206,comedy,1
the other dream team,lt,1.304,7.5,12,2012-09-28,500000,314444,multiple_genres,9
the other guys,en,13.508,6.2,2187,2010-08-06,100000000,170936470,multiple_genres,8
the other side of the door,en,9.078,5.3,470,2016-03-04,5000000,12905107,drama,3
the other woman,fr,6.359,4.9,60,2014-04-25,40000000,195111193,multiple_genres,4
the outrageous sophie tucker,en,0.628,6.0,1,2015-07-24,500000,0,documentary,7
the overnight,en,6.576,6.0,200,2015-06-19,200000,1165996,multiple_genres,6
the paperboy,en,8.143,5.5,409,2012-10-05,12500000,4027663,multiple_genres,10
the past is a grotesque animal,en,0.6,5.5,2,2014-06-19,100000,20056,multiple_genres,6
the peanuts movie,en,11.344,6.6,894,2015-11-06,99000000,250091610,multiple_genres,11
the perfect guy,en,6.727,5.7,211,2015-09-11,18000000,60278166,multiple_genres,9
the perfect host,en,6.088,6.3,217,2011-07-01,1000000,51587,fantasy,7
the perfect man,en,0.655,8.0,2,2005-06-17,10000000,19535005,multiple_genres,6
the perfect match,en,6.875,5.5,78,2016-03-11,5000000,10182050,romance,3
the perks of being a wallflower,en,15.148,7.8,5938,2012-09-21,13000000,33069303,drama,9
the place beyond the pines,en,12.96,6.9,2781,2013-03-29,15000000,47011449,multiple_genres,3
the pledge,en,0.6,6.0,1,2001-01-19,45000000,29406132,multiple_genres,1
the possession,en,8.978,5.9,918,2012-08-31,14000000,82925064,multiple_genres,8
the possession of hannah grace,en,20.263,5.1,393,2018-11-30,6000000,42785387,multiple_genres,11
the post,en,15.551,7.0,2506,2017-12-22,50000000,179748880,multiple_genres,12
the predator,en,29.473,5.2,2018,2018-09-14,88000000,159487563,multiple_genres,9
the prince,en,12.324,4.8,317,2014-08-22,18000000,0,multiple_genres,8
the promise,en,0.6,9.0,1,2017-04-21,90000000,10551417,multiple_genres,4
the purge,en,24.364,6.2,4797,2013-06-07,3000000,91266581,multiple_genres,6
the purge: anarchy,en,28.424,6.6,3754,2014-07-18,9000000,111534881,multiple_genres,7
the purge: election year,en,18.975,6.3,2900,2016-07-01,10000000,118514727,multiple_genres,7
the railway man,en,9.582,6.9,408,2014-04-11,18000000,23910210,multiple_genres,4
the raven,en,0.6,5.9,5,2012-04-27,26000000,30601801,multiple_genres,4
the reef,en,5.173,5.6,264,2010-12-31,10000000,15037867,multiple_genres,12
the reluctant fundamentalist,en,7.46,6.7,120,2013-04-26,15000000,528731,multiple_genres,4
the resurrection of gavin stone,en,1.509,6.7,10,2017-01-20,2000000,2303792,multiple_genres,1
the return,en,0.6,7.0,2,2004-02-06,15000000,5953886,documentary,2
the revenant,en,19.41,7.4,11064,2015-12-25,135000000,532938302,multiple_genres,12
the ridiculous 6,en,10.187,5.0,676,2015-12-11,60000000,0,multiple_genres,12
the rise of the krays,en,3.322,4.8,26,2016-02-02,2500000,0,multiple_genres,2
the rite,en,9.676,5.9,994,2011-01-28,37000000,97143987,multiple_genres,1
the road,tl,2.948,5.1,24,2009-11-25,25000000,29206732,multiple_genres,11
the roommate,en,8.134,5.4,406,2011-02-04,16000000,52545707,multiple_genres,2
the rover,en,13.528,6.2,435,2014-06-13,8500000,3180252,multiple_genres,6
the rum diary,en,12.011,5.7,652,2011-10-28,45000000,21544732,multiple_genres,10
the runaways,en,8.19,6.4,448,2010-03-19,9500000,5278632,multiple_genres,3
the saint,en,6.958,5.1,133,1997-04-04,90000000,169400000,drama,4
the sapphires,en,6.16,6.7,97,2013-03-22,9000000,20395040,multiple_genres,3
the second best exotic marigold hotel,en,7.731,6.4,420,2015-03-06,10000000,90384306,multiple_genres,3
the secret life of pets,en,9.909,6.1,5374,2016-07-08,75000000,886750534,multiple_genres,7
the secret life of walter mitty,en,10.743,7.1,4859,2013-12-25,91000000,187861183,multiple_genres,12
the sessions,en,6.46,6.9,296,2012-10-19,1000000,11495204,multiple_genres,10
the shallows,en,14.091,6.3,3037,2016-06-24,13000000,118763442,multiple_genres,6
the shape of water,en,22.025,7.2,7224,2017-12-01,19500000,195790794,multiple_genres,12
the signal,en,0.661,7.0,2,2008-02-22,50000,406299,multiple_genres,2
the sisterhood of night,en,3.314,6.4,51,2015-04-10,1000000,6870,multiple_genres,4
the sisters brothers,en,13.738,7.0,590,2018-09-21,38000000,13143056,multiple_genres,9
the sitter,en,11.571,5.4,472,2011-12-09,25000000,38749404,comedy,12
the skeleton twins,en,10.341,6.7,394,2014-09-12,1000000,5797192,multiple_genres,9
the sleepwalker,en,2.659,4.1,9,2014-11-21,1100000,2636,drama,11
the smurfs,en,16.533,5.6,2112,2011-07-29,110000000,563749323,multiple_genres,7
the smurfs 2,en,12.941,5.7,1200,2013-07-31,110000000,348547523,multiple_genres,7
the snowman,en,14.581,5.1,1225,2017-10-20,35000000,43226146,multiple_genres,10
the social network,en,15.889,7.2,6116,2010-10-01,40000000,224922135,multiple_genres,10
the son of no one,en,7.586,5.1,156,2011-11-04,15000000,1148578,multiple_genres,11
the sorcerer's apprentice,en,14.463,5.9,2879,2010-07-14,160000000,217986320,multiple_genres,7
the space between us,en,14.437,7.1,1455,2017-02-03,30000000,16481405,multiple_genres,2
the spectacular now,en,13.679,6.6,1801,2013-08-02,2500000,6916951,multiple_genres,8
the spongebob movie: sponge out of water,en,13.815,5.7,1165,2015-02-06,74000000,311013181,multiple_genres,2
the spy next door,en,10.746,5.7,650,2010-01-15,28000000,46752858,multiple_genres,1
the square,en,9.396,6.9,606,2013-10-25,1500000,176262,documentary,10
the star,en,14.53,5.4,233,2017-11-17,20000000,62758010,multiple_genres,11
the strangers: prey at night,en,13.31,5.4,621,2018-03-09,5000000,29960051,horror,3
the sweeney,en,6.4,5.9,142,2013-03-01,4500000,8000366,multiple_genres,3
the switch,en,7.745,6.1,1008,2010-08-20,19000000,49858465,multiple_genres,8
the tempest,en,6.3,5.8,52,2010-12-10,20000000,277943,multiple_genres,12
the theory of everything,en,13.866,7.9,6412,2014-11-07,15000000,123327692,multiple_genres,11
the thing,en,12.349,6.1,1404,2011-10-14,38000000,27573078,multiple_genres,10
the three musketeers,en,11.932,5.7,1596,2011-10-21,90000000,139877913,multiple_genres,10
the three stooges,en,9.358,5.1,215,2012-04-13,30000000,54052249,documentary,4
