movie,original_language,popularity,vote_average,vote_count,release_date,production_budget,worldwide_gross,genres,release_month
lost river,en,7.029,5.8,352,2015-04-07,2000000,2009644,multiple_genres,4
lottery ticket,en,7.699,5.7,92,2010-08-20,17000000,24719879,comedy,8
love in the time of monsters,en,0.6,5.0,2,2015-02-10,500000,0,multiple_genres,2
love ranch,en,6.185,6.1,28,2010-06-30,25000000,146149,multiple_genres,6
love the coopers,en,8.261,5.8,384,2015-11-13,18000000,42227490,multiple_genres,11
"love, simon",en,15.608,8.2,3165,2018-03-16,10000000,65520633,multiple_genres,3
lovesick,en,4.775,5.0,44,1983-02-18,10100000,10143618,multiple_genres,2
loving,en,8.506,6.7,529,2016-11-04,9000000,12898064,multiple_genres,11
lowriders,en,1.4,6.0,4,2017-05-12,916000,6188421,multiple_genres,5
lucky dog,en,0.628,4.0,1,2014-12-31,2000000,0,multiple_genres,12
lucy,en,16.73,6.3,10019,2014-07-25,40000000,457507776,multiple_genres,7
macgruber,en,7.666,5.3,270,2010-05-21,10000000,8629895,multiple_genres,5
machete,en,12.557,6.3,1862,2010-09-03,12500000,46370970,multiple_genres,9
machete kills,en,10.36,5.5,1079,2013-10-11,20000000,18273009,multiple_genres,10
machine gun preacher,en,9.12,6.5,477,2011-09-23,30000000,3721988,multiple_genres,9
mad max: fury road,en,28.099,7.4,14454,2015-05-15,150000000,370098020,multiple_genres,5
madagascar 3: europe's most wanted,en,18.705,6.5,3380,2012-06-08,145000000,746921271,multiple_genres,6
made in dagenham,en,7.275,6.6,150,2010-11-19,8000000,15644196,multiple_genres,11
madea's big happy family,en,9.393,6.7,71,2011-04-22,25000000,54160818,multiple_genres,4
maggie,en,13.0,5.3,958,2015-05-08,4500000,1027760,drama,5
magic mike,en,13.7,6.1,1850,2012-06-29,7000000,170549753,multiple_genres,6
magic mike xxl,en,8.681,6.2,1110,2015-07-01,14500000,123660597,multiple_genres,7
maleficent,en,19.274,7.0,8143,2014-05-30,180000000,758536735,multiple_genres,5
mama,en,11.983,6.1,2421,2013-01-18,15000000,148095566,documentary,1
man of steel,en,27.667,6.5,9758,2013-06-14,225000000,667999518,multiple_genres,6
man on a ledge,en,11.263,6.3,1460,2012-01-27,42000000,49621440,multiple_genres,1
manchester by the sea,en,16.638,7.5,3176,2016-11-18,8500000,77733867,drama,11
mandela: long walk to freedom,en,8.262,6.9,319,2013-11-29,35000000,29890402,multiple_genres,11
mandy,en,16.24,6.2,618,2018-09-14,6000000,1427656,multiple_genres,9
manglehorn,en,7.661,5.4,94,2015-06-19,4000000,797439,drama,6
maniac,en,6.666,6.0,471,1980-01-01,350000,10000000,multiple_genres,1
margaret,en,8.747,6.3,138,2011-09-30,14000000,623292,drama,9
margin call,en,9.498,6.8,856,2011-10-21,3400000,20433227,multiple_genres,10
marmaduke,en,8.487,5.1,367,2010-06-04,50000000,89895930,multiple_genres,6
mars needs moms,en,8.852,5.7,299,2011-03-11,150000000,39549758,multiple_genres,3
marshall,en,7.879,7.3,257,2017-10-13,12000000,10116816,multiple_genres,10
martha marcy may marlene,en,9.477,6.7,413,2011-10-21,1000000,5438911,multiple_genres,10
mary poppins returns,en,30.419,6.6,1457,2018-12-19,130000000,341528518,multiple_genres,12
mary queen of scots,en,16.115,6.6,592,2018-12-07,25000000,46734733,multiple_genres,12
max,en,7.766,6.8,407,2015-06-26,20000000,43658157,multiple_genres,6
max steel,en,8.88,5.2,383,2016-10-14,10000000,4563080,multiple_genres,10
maze runner: the scorch trials,en,17.31,6.6,6365,2015-09-18,61000000,310566162,multiple_genres,9
"mcfarland, usa",en,8.197,7.3,358,2015-02-20,17000000,45707924,multiple_genres,2
me and earl and the dying girl,en,8.677,7.6,1570,2015-06-12,8000000,9266180,multiple_genres,6
me before you,en,16.917,7.7,5939,2016-06-03,20000000,208265198,multiple_genres,6
mechanic: resurrection,en,16.302,5.6,1929,2016-08-26,40000000,109738840,multiple_genres,8
meek's cutoff,en,7.309,6.5,113,2011-04-08,2000000,1869928,multiple_genres,4
meet the blacks,en,6.131,4.4,139,2016-04-01,900000,9097072,multiple_genres,4
meet the mormons,es,0.6,5.4,7,2014-10-10,2000000,6049171,documentary,10
megamind,en,22.855,6.8,3635,2010-11-05,130000000,321887208,multiple_genres,11
melancholia,da,11.123,7.1,1642,2011-11-11,9400000,21817298,documentary,11
men in black 3,en,26.176,6.4,6398,2012-05-25,215000000,654213485,multiple_genres,5
middle of nowhere,en,1.62,6.5,11,2012-10-12,200000,236806,drama,10
middle school: the worst years of my life,en,8.479,7.0,190,2016-10-07,8500000,23311293,multiple_genres,10
midnight in paris,en,13.171,7.5,3965,2011-05-20,30000000,162502774,multiple_genres,5
midnight special,en,8.653,6.3,1105,2016-03-18,18000000,7680250,multiple_genres,3
mike and dave need wedding dates,en,11.676,6.0,1552,2016-07-08,33000000,75898100,multiple_genres,7
mile 22,en,21.246,6.0,920,2018-08-17,35000000,66295121,multiple_genres,8
milk,en,1.218,5.0,1,2008-11-26,20000000,57293371,multiple_genres,11
million dollar arm,en,7.771,6.8,353,2014-05-16,25000000,39217912,multiple_genres,5
minions,en,9.338,6.4,7343,2015-07-10,74000000,1160336173,multiple_genres,7
miracles from heaven,en,10.078,7.1,478,2016-03-16,13000000,73798736,multiple_genres,3
mirror mirror,en,13.221,5.8,2099,2012-03-30,85000000,173613482,multiple_genres,3
misconduct,en,7.299,5.5,301,2016-02-05,11000000,2352511,multiple_genres,2
miss bala,es,10.128,6.3,50,2019-02-01,15000000,15362298,multiple_genres,2
miss julie,en,7.423,5.8,77,2015-05-05,5500000,863895,multiple_genres,5
miss sloane,en,12.215,7.4,912,2016-11-25,18000000,7719630,multiple_genres,11
moana,en,1.96,6.5,16,2016-11-23,150000000,637517365,multiple_genres,11
molly,en,1.4,5.8,5,1999-10-22,21000000,17396,multiple_genres,10
mommy,en,11.095,8.3,1399,2015-01-23,4900000,17536004,drama,1
money monster,en,11.134,6.4,1859,2016-05-13,27000000,93466095,multiple_genres,5
moneyball,en,15.393,7.1,2255,2011-09-23,50000000,111300835,multiple_genres,9
monster,en,0.6,5.0,1,2003-12-24,5000000,64240813,multiple_genres,12
monster trucks,en,8.827,5.9,414,2017-01-13,125000000,61642798,multiple_genres,1
monsters,en,10.175,6.2,848,2010-10-29,500000,5639730,horror,10
monsters university,en,20.33,7.0,6362,2013-06-21,200000000,743588329,multiple_genres,6
monte carlo,en,11.017,6.2,1193,2011-07-01,20000000,39686769,multiple_genres,7
moonlight,en,15.948,7.4,3893,2016-10-21,1500000,65245512,drama,10
moonrise kingdom,en,14.086,7.7,3023,2012-05-25,16000000,68848446,multiple_genres,5
mooz-lum,en,1.057,4.7,5,2011-02-11,1500000,372239,multiple_genres,2
morgan,en,9.912,5.7,843,2016-09-02,8000000,7298786,multiple_genres,9
morning glory,en,10.595,6.3,717,2010-11-10,40000000,59795070,multiple_genres,11
